INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000319,201,'2020-01-01','2020-01-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000256,606,'2020-04-27','2020-04-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000204,105,'2020-04-28','2020-05-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000024,206,'2020-04-28','2020-05-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000478,106,'2020-04-29','2020-05-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000294,603,'2020-04-29','2020-05-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000231,110,'2020-04-30','2020-05-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000334,201,'2020-04-30','2020-05-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000277,203,'2020-04-30','2020-05-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000290,204,'2020-04-30','2020-05-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000043,405,'2020-04-30','2020-05-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000042,408,'2020-04-30','2020-05-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000368,410,'2020-04-30','2020-05-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000165,502,'2020-04-30','2020-05-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000055,503,'2020-04-30','2020-05-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000084,602,'2020-04-30','2020-07-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000039,308,'2020-05-01','2020-05-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000342,507,'2020-05-01','2020-05-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000493,509,'2020-05-01','2020-05-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000242,606,'2020-05-01','2020-05-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000416,206,'2020-05-02','2020-05-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000215,207,'2020-05-02','2020-05-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000127,301,'2020-05-02','2020-05-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000246,309,'2020-05-02','2020-05-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000351,407,'2020-05-02','2020-05-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000034,501,'2020-05-02','2020-05-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000504,506,'2020-05-02','2020-05-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000305,510,'2020-05-02','2020-05-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000205,607,'2020-05-02','2020-05-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000119,610,'2020-05-02','2020-05-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000389,304,'2020-05-04','2020-05-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000496,404,'2020-05-04','2020-05-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000048,406,'2020-05-04','2020-05-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000386,508,'2020-05-04','2020-05-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000344,604,'2020-05-04','2020-05-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000169,207,'2020-05-06','2020-05-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000195,305,'2020-05-06','2020-05-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000115,308,'2020-05-07','2020-05-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000069,502,'2020-05-07','2020-05-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000467,608,'2020-05-07','2020-05-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000306,202,'2020-05-08','2020-05-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000275,210,'2020-05-08','2020-05-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000081,307,'2020-05-08','2020-05-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000317,403,'2020-05-08','2020-05-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000426,405,'2020-05-08','2020-05-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000011,406,'2020-05-08','2020-05-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000487,505,'2020-05-08','2020-05-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000063,603,'2020-05-08','2020-05-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000470,606,'2020-05-08','2020-05-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000388,607,'2020-05-08','2020-05-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000238,108,'2020-05-09','2020-05-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000362,109,'2020-05-09','2020-05-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000436,110,'2020-05-09','2020-05-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000113,205,'2020-05-09','2020-05-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000379,306,'2020-05-09','2020-05-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000282,507,'2020-05-09','2020-05-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000323,609,'2020-05-09','2020-05-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000052,610,'2020-05-09','2020-05-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000329,105,'2020-05-10','2020-05-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000378,106,'2020-05-10','2020-05-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000062,309,'2020-05-10','2020-05-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000061,102,'2020-05-11','2020-05-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000492,303,'2020-05-11','2020-05-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000123,408,'2020-05-11','2020-05-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000265,410,'2020-05-11','2020-05-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000409,601,'2020-05-11','2020-05-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000412,207,'2020-05-12','2020-05-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000292,506,'2020-05-12','2020-05-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000024,401,'2020-05-13','2020-05-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000312,501,'2020-05-13','2020-05-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000067,208,'2020-05-14','2020-05-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000077,302,'2020-05-14','2020-05-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000026,304,'2020-05-14','2020-05-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000012,403,'2020-05-14','2020-05-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000056,405,'2020-05-14','2020-05-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000245,502,'2020-05-14','2020-05-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000391,610,'2020-05-14','2020-05-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000236,201,'2020-05-15','2020-05-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000072,202,'2020-05-15','2020-05-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000502,205,'2020-05-15','2020-05-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000118,305,'2020-05-15','2020-08-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000010,307,'2020-05-15','2020-05-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000408,508,'2020-05-15','2020-05-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000104,608,'2020-05-15','2020-05-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000246,609,'2020-05-15','2020-05-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000156,101,'2020-05-16','2020-05-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000106,107,'2020-05-16','2020-05-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000485,110,'2020-05-16','2020-05-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000439,203,'2020-05-16','2020-05-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000307,204,'2020-05-16','2020-05-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000169,310,'2020-05-16','2020-05-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000111,510,'2020-05-16','2020-05-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000444,404,'2020-05-17','2020-05-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000317,301,'2020-05-18','2020-05-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000165,410,'2020-05-18','2020-05-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000032,504,'2020-05-18','2020-05-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000270,607,'2020-05-18','2020-05-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000243,201,'2020-05-19','2020-05-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000137,401,'2020-05-19','2020-05-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000360,603,'2020-05-19','2020-05-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000431,307,'2020-05-20','2020-05-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000338,403,'2020-05-20','2020-05-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000096,501,'2020-05-20','2020-05-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000408,109,'2020-05-21','2020-05-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000406,206,'2020-05-21','2020-05-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000087,208,'2020-05-21','2020-05-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000015,209,'2020-05-21','2020-05-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000369,303,'2020-05-21','2020-05-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000420,504,'2020-05-21','2020-05-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000322,605,'2020-05-21','2020-05-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000497,301,'2020-05-22','2020-05-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000320,308,'2020-05-22','2020-05-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000076,309,'2020-05-22','2020-05-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000133,508,'2020-05-22','2020-05-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000303,606,'2020-05-22','2020-05-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000153,101,'2020-05-23','2020-05-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000080,110,'2020-05-23','2020-05-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000272,404,'2020-05-23','2020-05-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000226,509,'2020-05-24','2020-05-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000418,109,'2020-05-25','2020-05-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000202,203,'2020-05-25','2020-05-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000471,304,'2020-05-25','2020-05-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000188,502,'2020-05-25','2020-05-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000405,510,'2020-05-25','2020-05-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000504,210,'2020-05-27','2020-05-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000281,407,'2020-05-27','2020-05-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000167,501,'2020-05-27','2020-05-31');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000045,103,'2020-05-28','2020-05-31');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000453,503,'2020-05-28','2020-05-31');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000064,604,'2020-05-28','2020-05-31');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000226,101,'2020-05-29','2020-06-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000315,110,'2020-05-29','2020-06-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000456,201,'2020-05-29','2020-06-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000132,404,'2020-05-29','2020-06-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000059,203,'2020-05-30','2020-06-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000066,306,'2020-05-30','2020-06-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000181,307,'2020-05-30','2020-06-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000310,206,'2020-06-01','2020-06-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000256,302,'2020-06-01','2020-06-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000117,605,'2020-06-01','2020-06-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000302,609,'2020-06-01','2020-06-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000309,204,'2020-06-02','2020-06-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000208,405,'2020-06-02','2020-06-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000216,608,'2020-06-03','2020-06-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000083,105,'2020-06-04','2020-06-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000343,201,'2020-06-04','2020-06-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000238,202,'2020-06-04','2020-06-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000321,301,'2020-06-04','2020-06-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000416,303,'2020-06-04','2020-06-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000431,307,'2020-06-04','2020-06-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000114,309,'2020-06-04','2020-06-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000180,408,'2020-06-04','2020-06-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000353,108,'2020-06-05','2020-06-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000135,109,'2020-06-05','2020-06-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000184,203,'2020-06-05','2020-06-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000476,404,'2020-06-05','2020-06-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000255,509,'2020-06-05','2020-09-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000501,601,'2020-06-05','2020-06-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000244,604,'2020-06-05','2020-06-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000426,210,'2020-06-06','2020-06-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000251,310,'2020-06-06','2020-06-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000027,402,'2020-06-06','2020-06-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000356,501,'2020-06-06','2020-06-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000078,504,'2020-06-06','2020-06-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000080,506,'2020-06-06','2020-06-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000273,508,'2020-06-06','2020-06-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000239,609,'2020-06-06','2020-06-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000014,107,'2020-06-07','2020-06-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000397,106,'2020-06-08','2020-06-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000236,209,'2020-06-08','2020-06-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000370,309,'2020-06-08','2020-06-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000173,403,'2020-06-08','2020-07-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000373,406,'2020-06-08','2020-06-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000039,502,'2020-06-08','2020-06-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000444,503,'2020-06-08','2020-06-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000433,505,'2020-06-08','2020-06-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000282,608,'2020-06-08','2020-06-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000351,207,'2020-06-10','2020-06-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000348,208,'2020-06-11','2020-06-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000213,303,'2020-06-11','2020-06-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000460,404,'2020-06-11','2020-06-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000025,506,'2020-06-11','2020-06-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000162,508,'2020-06-11','2020-06-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000319,202,'2020-06-12','2020-06-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000326,204,'2020-06-12','2020-06-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000314,209,'2020-06-12','2020-06-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000371,306,'2020-06-12','2020-06-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000192,405,'2020-06-12','2020-06-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000189,410,'2020-06-12','2020-06-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000121,501,'2020-06-12','2020-06-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000183,504,'2020-06-12','2020-09-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000270,604,'2020-06-12','2020-06-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000480,203,'2020-06-13','2020-06-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000307,505,'2020-06-13','2020-06-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000288,603,'2020-06-13','2020-06-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000016,608,'2020-06-13','2020-06-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000259,205,'2020-06-14','2020-06-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000321,402,'2020-06-14','2020-06-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000473,404,'2020-06-14','2020-06-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000117,107,'2020-06-15','2020-06-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000448,108,'2020-06-15','2020-06-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000478,206,'2020-06-15','2020-06-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000099,302,'2020-06-15','2020-06-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000145,309,'2020-06-15','2020-06-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000166,310,'2020-06-15','2020-06-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000196,408,'2020-06-15','2020-06-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000475,510,'2020-06-15','2020-06-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000453,607,'2020-06-15','2020-06-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000057,101,'2020-06-16','2020-06-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000113,102,'2020-06-18','2020-06-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000412,307,'2020-06-18','2020-06-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000322,402,'2020-06-18','2020-06-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000438,501,'2020-06-18','2020-06-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000125,502,'2020-06-18','2020-06-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000239,505,'2020-06-18','2020-06-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000435,508,'2020-06-18','2020-06-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000247,104,'2020-06-19','2020-06-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000362,105,'2020-06-19','2020-06-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000206,106,'2020-06-19','2020-06-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000198,205,'2020-06-19','2020-06-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000491,209,'2020-06-19','2020-06-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000177,304,'2020-06-19','2020-06-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000310,405,'2020-06-19','2020-06-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000184,507,'2020-06-19','2020-06-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000356,605,'2020-06-19','2020-06-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000024,204,'2020-06-20','2020-06-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000506,210,'2020-06-20','2020-06-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000194,606,'2020-06-20','2020-06-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000261,506,'2020-06-21','2020-06-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000270,109,'2020-06-22','2020-06-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000250,110,'2020-06-22','2020-06-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000117,306,'2020-06-22','2020-06-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000322,402,'2020-06-22','2020-06-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000108,502,'2020-06-22','2020-06-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000116,503,'2020-06-22','2020-06-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000241,601,'2020-06-22','2020-06-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000159,408,'2020-06-23','2020-06-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000230,410,'2020-06-23','2020-06-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000488,201,'2020-06-25','2020-06-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000279,205,'2020-06-25','2020-06-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000424,208,'2020-06-25','2020-06-28');
